Event#, Q2, W, MX, xF1, xF2, y, x, z, Mh, phperp, phiH, phiR, theta
1090295, 3.02, 3.50, 2.60, 0.15, 0.15, 0.72, 0.21, 0.39, 0.70, 0.28, 1.11, 4.96, 1.55
1095321, 4.80, 3.32, 1.92, 0.22, 0.22, 0.75, 0.32, 0.57, 1.17, 0.42, 0.25, 0.92, 1.12
1095359, 1.80, 3.71, 2.28, 0.10, 0.10, 0.74, 0.12, 0.53, 0.99, 0.64, 2.93, 1.71, 1.61
1098018, 3.23, 3.35, 1.95, 0.23, 0.23, 0.68, 0.24, 0.65, 0.57, 0.53, 2.17, 0.71, 1.67
1098302, 1.55, 3.81, 2.65, 0.14, 0.14, 0.76, 0.10, 0.48, 0.82, 0.30, 4.99, 1.22, 1.78
1098411, 3.58, 3.28, 1.93, 0.16, 0.16, 0.68, 0.27, 0.53, 0.81, 0.74, 2.19, 4.68, 1.79
1098597, 3.29, 3.18, 2.23, 0.11, 0.11, 0.63, 0.26, 0.42, 0.39, 0.63, 2.82, 1.13, 1.69
1102482, 1.68, 3.47, 2.35, 0.28, 0.28, 0.65, 0.13, 0.52, 0.61, 0.40, 4.06, 1.48, 1.36
1104128, 1.48, 3.85, 2.56, 0.25, 0.25, 0.78, 0.10, 0.49, 0.98, 0.42, 4.38, 5.95, 1.17
1106790, 2.93, 3.37, 2.37, 0.12, 0.12, 0.67, 0.22, 0.43, 0.90, 0.14, 5.63, 5.39, 1.39
1111998, 2.54, 3.68, 2.49, 0.14, 0.14, 0.76, 0.17, 0.48, 0.43, 0.70, 2.54, 0.66, 1.84
1111998, 2.54, 3.68, 2.50, 0.11, 0.11, 0.76, 0.17, 0.47, 0.52, 0.69, 3.29, 4.96, 1.85
1112314, 6.68, 2.95, 2.05, 0.26, 0.26, 0.73, 0.46, 0.48, 0.63, 0.31, 3.29, 0.49, 1.29
1114832, 2.36, 3.25, 1.71, 0.31, 0.31, 0.60, 0.20, 0.73, 0.62, 0.52, 2.48, 4.10, 1.49
1120147, 1.81, 3.30, 1.63, 0.42, 0.42, 0.59, 0.15, 0.74, 1.13, 0.43, 4.64, 6.12, 1.08
1121913, 1.90, 3.62, 2.70, 0.15, 0.15, 0.71, 0.13, 0.40, 0.62, 0.33, 3.62, 5.13, 1.46
1122161, 2.40, 3.71, 2.91, 0.13, 0.13, 0.77, 0.16, 0.33, 0.47, 0.41, 3.08, 0.63, 1.66
1123135, 3.34, 3.00, 1.86, 0.29, 0.29, 0.58, 0.29, 0.56, 0.63, 0.57, 4.85, 1.06, 1.29
1124113, 7.46, 2.95, 1.76, 0.29, 0.29, 0.77, 0.49, 0.56, 0.46, 0.70, 3.90, 6.09, 1.11
1124769, 1.87, 3.26, 1.73, 0.48, 0.48, 0.58, 0.16, 0.76, 0.57, 0.27, 3.40, 0.95, 1.10
1128147, 4.14, 3.05, 2.02, 0.21, 0.21, 0.63, 0.33, 0.51, 0.74, 0.38, 5.23, 2.20, 1.55
1130438, 1.91, 3.38, 1.70, 0.22, 0.22, 0.63, 0.15, 0.73, 1.25, 0.35, 3.05, 4.88, 1.60
1130743, 1.88, 3.51, 1.71, 0.36, 0.36, 0.67, 0.14, 0.74, 0.94, 0.62, 2.45, 0.13, 1.45
1133995, 1.43, 3.68, 2.07, 0.28, 0.28, 0.71, 0.10, 0.65, 1.30, 0.20, 1.72, 4.06, 1.39
1136498, 1.91, 3.04, 1.51, 0.31, 0.31, 0.52, 0.19, 0.76, 0.46, 0.59, 3.17, 2.01, 1.49
1137281, 2.90, 3.12, 1.60, 0.27, 0.27, 0.59, 0.25, 0.70, 0.94, 0.59, 5.03, 2.78, 1.57
1137293, 3.67, 3.55, 2.37, 0.31, 0.31, 0.77, 0.24, 0.52, 0.81, 0.32, 3.82, 1.36, 1.19
1137293, 3.67, 3.55, 2.46, 0.05, 0.05, 0.77, 0.24, 0.36, 0.79, 0.61, 3.37, 1.91, 1.50
1139976, 1.79, 3.63, 2.73, 0.13, 0.13, 0.71, 0.13, 0.35, 0.55, 0.53, 2.85, 0.51, 1.60
1140431, 1.47, 3.33, 2.34, 0.16, 0.16, 0.59, 0.13, 0.43, 0.30, 0.66, 3.71, 5.97, 1.42
1141575, 1.46, 3.60, 1.89, 0.11, 0.11, 0.68, 0.11, 0.56, 1.33, 0.75, 2.55, 5.02, 1.81
1145464, 2.15, 3.42, 2.12, 0.07, 0.07, 0.65, 0.17, 0.49, 0.97, 0.60, 5.24, 0.57, 1.69
1146552, 3.43, 3.39, 2.12, 0.19, 0.19, 0.70, 0.24, 0.52, 0.94, 0.53, 5.37, 0.89, 1.44
1148079, 3.09, 2.80, 1.67, 0.21, 0.21, 0.51, 0.31, 0.65, 0.31, 0.51, 3.75, 3.41, 1.76
1150103, 1.86, 3.77, 2.52, 0.24, 0.24, 0.76, 0.12, 0.47, 0.60, 0.74, 2.44, 4.60, 1.22
1151276, 1.80, 3.32, 2.42, 0.14, 0.14, 0.60, 0.15, 0.44, 0.70, 0.14, 2.20, 0.85, 1.57
1151276, 1.80, 3.32, 2.37, 0.14, 0.14, 0.60, 0.15, 0.42, 0.77, 0.31, 2.50, 0.60, 1.53
1157066, 2.43, 3.25, 2.18, 0.28, 0.28, 0.61, 0.20, 0.55, 0.72, 0.02, 0.16, 1.15, 1.26
1157099, 1.71, 3.85, 1.89, 0.22, 0.22, 0.78, 0.11, 0.71, 0.91, 0.83, 0.80, 4.02, 1.91
1157099, 1.71, 3.85, 2.05, 0.11, 0.11, 0.78, 0.11, 0.63, 0.85, 0.92, 0.56, 4.54, 2.12
1157385, 1.68, 2.87, 1.56, 0.28, 0.28, 0.46, 0.19, 0.72, 0.78, 0.35, 2.17, 0.66, 1.48
1163162, 1.55, 3.54, 2.36, 0.20, 0.20, 0.66, 0.12, 0.51, 0.95, 0.19, 1.29, 4.89, 1.49
1163162, 1.55, 3.54, 2.43, 0.10, 0.10, 0.66, 0.12, 0.43, 0.87, 0.45, 2.51, 4.36, 1.67
1164660, 2.80, 3.31, 2.18, 0.18, 0.18, 0.65, 0.22, 0.50, 0.79, 0.45, 2.63, 1.40, 1.32
1165997, 3.46, 3.59, 1.79, 0.16, 0.16, 0.78, 0.22, 0.71, 0.50, 0.81, 1.87, 4.46, 2.17
1167447, 1.82, 3.61, 2.51, 0.10, 0.10, 0.70, 0.13, 0.42, 0.81, 0.52, 0.79, 5.99, 1.36
1168055, 3.93, 3.55, 1.86, 0.31, 0.31, 0.79, 0.25, 0.66, 1.36, 0.42, 4.97, 3.42, 1.21
1168055, 3.93, 3.55, 2.32, 0.23, 0.23, 0.79, 0.25, 0.48, 0.74, 0.66, 6.18, 3.34, 1.49
1172109, 1.42, 3.76, 2.74, 0.10, 0.10, 0.74, 0.10, 0.36, 0.96, 0.20, 1.26, 3.61, 1.52
1175373, 2.67, 3.05, 1.57, 0.24, 0.24, 0.56, 0.24, 0.72, 0.77, 0.56, 3.76, 5.80, 1.71
1176418, 1.90, 3.28, 1.90, 0.20, 0.20, 0.59, 0.16, 0.55, 0.81, 0.75, 3.76, 5.44, 1.32
1179032, 3.89, 3.33, 1.99, 0.27, 0.27, 0.71, 0.28, 0.65, 0.69, 0.36, 1.82, 0.65, 1.47
1179109, 1.70, 3.21, 2.05, 0.06, 0.06, 0.56, 0.15, 0.47, 1.09, 0.24, 3.32, 2.00, 1.50
1180220, 2.38, 3.64, 2.12, 0.19, 0.19, 0.74, 0.16, 0.59, 0.87, 0.72, 5.80, 1.20, 1.57
1180346, 2.78, 3.62, 2.36, 0.14, 0.14, 0.75, 0.19, 0.52, 0.46, 0.70, 2.13, 4.10, 1.93
1181079, 4.10, 3.37, 2.33, 0.15, 0.15, 0.73, 0.28, 0.41, 0.52, 0.69, 2.99, 6.26, 1.70
1184147, 3.41, 3.04, 1.86, 0.00, 0.00, 0.59, 0.29, 0.47, 1.16, 0.18, 4.68, 4.42, 1.46
1184147, 3.41, 3.04, 2.17, 0.16, 0.16, 0.59, 0.29, 0.42, 0.69, 0.34, 1.33, 4.33, 1.58
1186920, 1.45, 3.72, 2.57, 0.17, 0.17, 0.72, 0.10, 0.49, 0.75, 0.35, 1.90, 0.54, 1.57
1187333, 5.91, 2.87, 1.90, 0.18, 0.18, 0.67, 0.45, 0.47, 0.42, 0.61, 1.55, 5.32, 1.58
1188192, 3.80, 3.42, 2.33, 0.09, 0.09, 0.73, 0.26, 0.40, 1.03, 0.25, 6.17, 1.28, 1.39
1188473, 3.56, 2.62, 1.80, 0.25, 0.25, 0.48, 0.37, 0.55, 0.41, 0.19, 4.19, 0.66, 1.46
1189907, 2.29, 3.54, 1.91, 0.22, 0.22, 0.70, 0.16, 0.63, 0.75, 0.85, 3.31, 0.40, 1.80
1190917, 2.20, 3.71, 2.56, 0.15, 0.15, 0.76, 0.15, 0.40, 0.52, 0.80, 3.34, 1.27, 1.36
1190917, 2.20, 3.71, 2.81, 0.08, 0.08, 0.76, 0.15, 0.32, 0.79, 0.33, 2.96, 0.94, 1.59
1191515, 2.81, 3.71, 2.89, 0.12, 0.12, 0.79, 0.18, 0.33, 0.41, 0.51, 2.39, 0.19, 1.66
1191928, 3.65, 3.43, 2.53, 0.14, 0.14, 0.73, 0.25, 0.38, 0.68, 0.40, 0.66, 4.30, 1.64
1193297, 1.46, 3.53, 1.86, 0.23, 0.23, 0.66, 0.11, 0.74, 0.39, 0.50, 3.70, 5.72, 1.97
1193531, 3.95, 3.21, 2.10, 0.03, 0.03, 0.67, 0.30, 0.43, 0.98, 0.38, 1.93, 0.83, 1.49
1193541, 1.54, 3.55, 2.60, 0.17, 0.17, 0.67, 0.12, 0.40, 0.58, 0.48, 2.63, 5.45, 1.57
1195986, 3.35, 3.28, 2.32, 0.10, 0.10, 0.66, 0.25, 0.38, 0.30, 0.70, 3.03, 4.49, 1.48
1197515, 4.19, 3.54, 2.26, 0.07, 0.07, 0.80, 0.26, 0.55, 0.99, 0.24, 2.54, 5.86, 2.03
1198967, 2.03, 3.69, 2.23, 0.17, 0.17, 0.74, 0.14, 0.57, 0.79, 0.70, 0.96, 6.07, 1.50
1204122, 1.38, 3.74, 1.94, 0.15, 0.15, 0.73, 0.10, 0.61, 1.64, 0.40, 1.92, 3.68, 1.50
1211290, 1.66, 3.55, 2.25, 0.17, 0.17, 0.67, 0.12, 0.59, 0.72, 0.36, 1.29, 5.03, 1.89
1211984, 2.74, 2.99, 1.87, 0.25, 0.25, 0.54, 0.25, 0.59, 0.51, 0.51, 3.47, 1.18, 1.56
1217494, 2.55, 3.76, 2.61, 0.16, 0.16, 0.79, 0.16, 0.45, 0.63, 0.59, 4.83, 6.24, 1.45
1219009, 6.28, 2.70, 1.68, 0.17, 0.17, 0.64, 0.50, 0.51, 0.76, 0.45, 0.52, 4.97, 1.45
1219905, 3.15, 2.95, 1.79, 0.23, 0.23, 0.55, 0.29, 0.61, 0.76, 0.41, 3.19, 4.28, 1.36
1222840, 4.84, 2.98, 1.83, 0.05, 0.05, 0.65, 0.38, 0.53, 0.48, 0.71, 3.06, 2.49, 1.82
1223112, 3.55, 3.40, 2.03, 0.31, 0.31, 0.72, 0.25, 0.63, 0.88, 0.30, 4.31, 5.04, 1.23
1224080, 2.02, 3.59, 1.71, 0.33, 0.33, 0.71, 0.14, 0.76, 0.57, 0.74, 3.26, 5.03, 1.50
1226625, 2.74, 2.78, 1.66, 0.27, 0.27, 0.48, 0.29, 0.67, 0.55, 0.35, 3.80, 2.08, 1.51
1226914, 2.45, 3.75, 1.88, 0.11, 0.11, 0.78, 0.16, 0.64, 1.40, 0.72, 3.81, 2.52, 1.56
1228072, 1.74, 3.10, 1.81, 0.09, 0.09, 0.53, 0.17, 0.65, 0.91, 0.26, 4.52, 5.72, 1.90
1230271, 2.51, 3.62, 2.56, 0.06, 0.06, 0.74, 0.17, 0.41, 0.98, 0.17, 2.51, 1.29, 1.59
1230925, 2.16, 3.45, 1.97, 0.39, 0.39, 0.66, 0.16, 0.69, 0.56, 0.44, 2.84, 6.20, 1.30
1231279, 2.08, 3.43, 1.93, 0.37, 0.37, 0.65, 0.16, 0.70, 0.71, 0.40, 3.86, 6.10, 1.35
1232796, 3.42, 2.88, 1.92, 0.15, 0.15, 0.54, 0.32, 0.52, 0.77, 0.20, 4.06, 1.55, 1.70
1233207, 1.68, 3.06, 2.03, 0.14, 0.14, 0.51, 0.17, 0.54, 0.76, 0.28, 2.36, 0.44, 1.72
1235482, 5.13, 3.11, 1.51, 0.12, 0.12, 0.70, 0.37, 0.79, 0.47, 0.46, 3.08, 2.34, 2.30
1236014, 5.54, 2.98, 2.18, 0.18, 0.18, 0.68, 0.41, 0.45, 0.55, 0.20, 2.49, 4.74, 1.52
1237529, 5.97, 3.02, 2.16, 0.13, 0.13, 0.71, 0.42, 0.41, 0.45, 0.50, 3.33, 5.80, 1.81
1238598, 1.48, 3.34, 2.18, 0.23, 0.23, 0.59, 0.13, 0.56, 0.59, 0.43, 3.75, 1.12, 1.64
1240561, 4.44, 3.23, 2.05, 0.13, 0.13, 0.70, 0.32, 0.58, 0.70, 0.36, 1.33, 4.79, 2.01
1241539, 2.16, 3.68, 2.63, 0.13, 0.13, 0.75, 0.15, 0.40, 0.76, 0.48, 1.14, 4.17, 1.80
1247029, 3.49, 3.47, 1.96, 0.13, 0.13, 0.74, 0.24, 0.53, 0.73, 0.93, 1.46, 0.39, 1.29
1249510, 2.19, 3.63, 2.66, 0.08, 0.08, 0.73, 0.15, 0.40, 0.55, 0.52, 2.68, 1.33, 1.74
1253027, 2.84, 3.42, 2.05, 0.28, 0.28, 0.69, 0.21, 0.60, 0.97, 0.44, 4.32, 1.50, 1.45
1253027, 2.84, 3.42, 2.09, 0.18, 0.18, 0.69, 0.21, 0.55, 1.17, 0.24, 3.83, 1.54, 1.53
1253734, 2.68, 3.44, 1.80, 0.14, 0.14, 0.69, 0.20, 0.63, 0.74, 0.89, 2.21, 1.18, 1.57
1257051, 2.39, 3.23, 1.95, 0.18, 0.18, 0.60, 0.20, 0.57, 1.09, 0.28, 2.69, 1.12, 1.44
1257104, 2.65, 3.32, 2.29, 0.11, 0.11, 0.64, 0.21, 0.46, 0.87, 0.24, 2.35, 0.49, 1.66
1259475, 3.00, 3.11, 1.72, 0.13, 0.13, 0.59, 0.25, 0.65, 0.46, 0.71, 3.23, 1.95, 1.98
1259475, 3.00, 3.11, 1.82, 0.11, 0.11, 0.59, 0.25, 0.65, 0.85, 0.31, 2.60, 0.92, 1.92
1260045, 2.86, 2.78, 1.72, 0.29, 0.29, 0.49, 0.30, 0.62, 0.36, 0.48, 4.47, 0.83, 1.37
1260067, 1.69, 3.68, 2.66, 0.09, 0.09, 0.72, 0.12, 0.39, 0.62, 0.55, 4.28, 5.34, 1.48
1261506, 2.79, 3.62, 2.34, 0.09, 0.09, 0.75, 0.19, 0.45, 0.75, 0.77, 3.77, 5.86, 1.86
1262175, 3.15, 3.43, 1.60, 0.22, 0.22, 0.71, 0.22, 0.74, 1.20, 0.63, 3.30, 5.70, 1.75
1262175, 3.15, 3.43, 1.76, 0.17, 0.17, 0.71, 0.22, 0.66, 0.95, 0.79, 2.52, 0.10, 1.91
1262385, 3.82, 3.57, 2.27, 0.10, 0.10, 0.79, 0.24, 0.56, 0.72, 0.49, 3.86, 5.30, 1.98
1262709, 2.92, 3.44, 1.55, 0.30, 0.30, 0.70, 0.21, 0.65, 0.55, 1.14, 3.98, 2.03, 1.11
1263219, 2.15, 3.25, 2.07, 0.23, 0.23, 0.60, 0.18, 0.61, 0.44, 0.38, 2.48, 0.85, 1.64
1264539, 2.45, 3.00, 1.83, 0.22, 0.22, 0.53, 0.23, 0.67, 0.46, 0.16, 3.93, 1.08, 1.84
1265593, 5.91, 2.96, 1.70, 0.20, 0.20, 0.69, 0.43, 0.64, 0.44, 0.62, 4.76, 0.74, 1.87
1268274, 3.09, 3.18, 2.19, 0.18, 0.18, 0.62, 0.25, 0.52, 0.36, 0.44, 3.13, 1.43, 1.72
1269879, 2.15, 3.74, 1.85, 0.19, 0.19, 0.77, 0.14, 0.55, 0.59, 1.26, 4.55, 1.92, 1.62
1270119, 2.05, 3.10, 1.97, 0.20, 0.20, 0.54, 0.19, 0.54, 0.92, 0.30, 4.11, 1.58, 1.54
1271966, 2.28, 3.66, 2.19, 0.09, 0.09, 0.74, 0.15, 0.44, 0.29, 1.11, 4.87, 3.31, 1.25
1271966, 2.28, 3.66, 2.71, 0.14, 0.14, 0.74, 0.15, 0.38, 0.73, 0.35, 4.80, 1.86, 1.65
1273010, 4.44, 3.42, 2.26, 0.03, 0.03, 0.77, 0.29, 0.46, 0.86, 0.52, 3.66, 5.27, 1.91
1274329, 1.51, 3.54, 1.67, 0.46, 0.46, 0.66, 0.11, 0.76, 0.51, 0.78, 2.89, 0.64, 1.04
1277437, 2.60, 3.21, 1.95, 0.25, 0.25, 0.60, 0.22, 0.57, 0.55, 0.68, 4.50, 6.27, 1.34
1281651, 2.28, 3.01, 1.96, 0.13, 0.13, 0.53, 0.22, 0.58, 0.67, 0.17, 0.15, 0.17, 1.77
1282163, 3.87, 3.20, 2.17, 0.23, 0.23, 0.66, 0.29, 0.48, 0.35, 0.61, 2.50, 0.09, 1.22
1282479, 1.73, 3.81, 2.34, 0.17, 0.17, 0.77, 0.11, 0.48, 0.55, 1.00, 3.06, 5.61, 1.67
1282990, 2.91, 3.51, 2.62, 0.12, 0.12, 0.72, 0.20, 0.37, 0.78, 0.18, 0.55, 5.37, 1.44
1284783, 2.78, 3.52, 2.04, 0.22, 0.22, 0.72, 0.19, 0.59, 0.72, 0.74, 2.49, 0.82, 1.50
1288338, 1.96, 3.81, 2.12, 0.28, 0.28, 0.78, 0.13, 0.63, 1.43, 0.27, 3.05, 1.77, 1.23
1289751, 1.98, 3.65, 1.76, 0.04, 0.04, 0.73, 0.14, 0.61, 1.07, 1.02, 3.14, 4.26, 1.65
1289789, 1.49, 3.65, 2.62, 0.25, 0.25, 0.70, 0.11, 0.48, 0.64, 0.15, 2.30, 0.67, 1.27
1292165, 2.39, 3.68, 2.44, 0.18, 0.18, 0.76, 0.16, 0.53, 0.50, 0.57, 3.67, 5.58, 1.76
1294786, 1.98, 3.76, 2.48, 0.13, 0.13, 0.77, 0.13, 0.52, 0.42, 0.69, 4.16, 5.46, 1.91
1295038, 2.59, 3.33, 2.25, 0.14, 0.14, 0.64, 0.20, 0.48, 0.95, 0.07, 1.70, 5.24, 1.57
1296583, 2.07, 3.37, 2.34, 0.25, 0.25, 0.63, 0.17, 0.50, 0.49, 0.42, 3.61, 6.04, 1.37
1299864, 1.98, 3.46, 2.23, 0.29, 0.29, 0.66, 0.15, 0.56, 0.91, 0.18, 3.53, 4.92, 1.20
1300987, 1.62, 3.70, 2.09, 0.29, 0.29, 0.72, 0.11, 0.67, 0.49, 0.65, 3.00, 5.02, 1.56
1302779, 4.13, 3.23, 1.86, 0.17, 0.17, 0.69, 0.30, 0.56, 1.01, 0.59, 3.98, 6.13, 1.64
1307368, 2.48, 3.39, 2.36, 0.13, 0.13, 0.66, 0.19, 0.49, 0.72, 0.22, 2.56, 0.80, 1.74
1310303, 1.87, 2.89, 1.56, 0.25, 0.25, 0.47, 0.20, 0.65, 0.78, 0.62, 3.02, 0.97, 1.51
1310303, 1.87, 2.89, 1.75, 0.11, 0.11, 0.47, 0.20, 0.57, 1.04, 0.14, 3.05, 0.57, 1.66
1312839, 2.07, 3.60, 2.20, 0.09, 0.09, 0.71, 0.15, 0.55, 0.91, 0.61, 2.61, 0.83, 1.89
1312931, 3.23, 3.58, 2.43, 0.23, 0.23, 0.76, 0.21, 0.51, 0.69, 0.38, 3.14, 4.81, 1.42
1312931, 3.23, 3.58, 2.29, 0.13, 0.13, 0.76, 0.21, 0.48, 0.54, 0.82, 1.50, 0.29, 1.48
1313687, 2.14, 3.40, 2.42, 0.24, 0.24, 0.65, 0.17, 0.49, 0.62, 0.15, 2.62, 4.86, 1.39
1316891, 1.53, 3.88, 2.92, 0.10, 0.10, 0.79, 0.10, 0.33, 0.76, 0.44, 0.76, 4.96, 1.56
1317175, 3.62, 2.84, 1.53, 0.08, 0.08, 0.54, 0.33, 0.60, 1.23, 0.26, 1.97, 1.75, 1.39
1318979, 1.88, 3.41, 1.65, 0.29, 0.29, 0.63, 0.15, 0.77, 0.60, 0.59, 4.26, 5.45, 1.61
1319237, 2.53, 3.70, 2.26, 0.10, 0.10, 0.77, 0.16, 0.62, 0.81, 0.34, 3.52, 0.20, 2.14
1319452, 3.02, 3.06, 1.97, 0.06, 0.06, 0.58, 0.26, 0.44, 0.49, 0.75, 2.35, 1.12, 1.56
1321242, 2.27, 3.56, 1.63, 0.11, 0.11, 0.71, 0.16, 0.71, 1.27, 0.76, 3.67, 0.01, 2.07
1323461, 2.23, 3.68, 2.35, 0.26, 0.26, 0.75, 0.15, 0.51, 0.85, 0.63, 3.71, 1.19, 1.35
1323900, 1.47, 3.57, 2.23, 0.22, 0.22, 0.67, 0.11, 0.56, 0.80, 0.54, 4.00, 1.53, 1.63
1324065, 2.88, 3.60, 2.37, 0.16, 0.16, 0.75, 0.19, 0.46, 0.49, 0.81, 2.11, 5.19, 1.76
1327196, 3.31, 3.36, 1.89, 0.18, 0.18, 0.69, 0.24, 0.69, 0.88, 0.30, 4.58, 1.87, 1.90
1330375, 4.90, 3.22, 2.04, 0.23, 0.23, 0.72, 0.34, 0.54, 0.90, 0.35, 3.95, 5.41, 1.32
1330717, 1.98, 3.70, 2.63, 0.19, 0.19, 0.74, 0.13, 0.47, 0.56, 0.39, 4.20, 6.12, 1.57
1330735, 1.53, 3.77, 2.27, 0.05, 0.05, 0.75, 0.10, 0.53, 1.29, 0.43, 1.14, 6.10, 1.68
1333189, 2.04, 3.74, 2.02, 0.26, 0.26, 0.76, 0.13, 0.60, 0.83, 0.95, 1.05, 5.50, 1.33
1334196, 2.92, 3.03, 2.17, 0.15, 0.15, 0.56, 0.26, 0.44, 0.44, 0.46, 4.14, 6.02, 1.60
1340920, 2.43, 3.37, 2.34, 0.22, 0.22, 0.65, 0.19, 0.45, 0.52, 0.58, 3.10, 0.51, 1.36
1340920, 2.43, 3.37, 2.34, 0.07, 0.07, 0.65, 0.19, 0.38, 0.58, 0.69, 3.97, 5.60, 1.55
1343693, 1.78, 3.36, 1.89, 0.24, 0.24, 0.61, 0.15, 0.62, 0.89, 0.64, 5.05, 2.95, 1.56
1346953, 1.51, 3.65, 2.51, 0.12, 0.12, 0.70, 0.11, 0.50, 0.54, 0.48, 2.50, 0.74, 1.94
1349018, 1.72, 3.03, 1.88, 0.11, 0.11, 0.50, 0.17, 0.50, 0.45, 0.76, 1.62, 0.33, 1.54
1349956, 2.25, 3.29, 2.10, 0.12, 0.12, 0.61, 0.18, 0.46, 0.91, 0.57, 2.93, 4.57, 1.41
1350361, 1.92, 3.68, 2.53, 0.12, 0.12, 0.73, 0.13, 0.43, 0.56, 0.73, 4.28, 0.30, 1.84
1350641, 2.58, 3.07, 1.64, 0.28, 0.28, 0.56, 0.23, 0.69, 0.40, 0.71, 3.80, 5.04, 1.35
1355083, 3.94, 3.19, 1.86, 0.11, 0.11, 0.67, 0.30, 0.66, 0.65, 0.39, 4.62, 6.06, 2.09
1357434, 2.71, 3.27, 1.66, 0.15, 0.15, 0.63, 0.22, 0.65, 0.31, 0.95, 4.20, 2.70, 2.24
1359528, 6.03, 2.81, 1.92, 0.06, 0.06, 0.66, 0.46, 0.48, 0.74, 0.19, 0.03, 0.67, 1.70
1361096, 1.59, 3.56, 2.47, 0.18, 0.18, 0.67, 0.12, 0.46, 0.42, 0.65, 3.78, 0.30, 1.65
1361900, 2.01, 3.79, 2.58, 0.11, 0.11, 0.78, 0.13, 0.49, 0.80, 0.44, 4.59, 0.59, 1.94
1362379, 4.45, 3.35, 2.34, 0.11, 0.11, 0.74, 0.30, 0.43, 0.59, 0.58, 4.18, 2.20, 1.79
1367353, 7.81, 2.49, 1.73, 0.08, 0.08, 0.66, 0.60, 0.45, 0.62, 0.25, 4.73, 5.30, 1.49
1367987, 1.56, 3.81, 2.70, 0.20, 0.20, 0.76, 0.10, 0.42, 0.47, 0.69, 4.03, 0.32, 1.40
1368146, 1.78, 2.98, 1.74, 0.19, 0.19, 0.49, 0.18, 0.54, 0.47, 0.82, 3.39, 6.25, 1.66
1371248, 1.46, 3.90, 2.50, 0.15, 0.15, 0.79, 0.09, 0.48, 0.76, 0.80, 3.68, 6.00, 1.77
1371248, 1.46, 3.90, 2.50, 0.10, 0.10, 0.79, 0.09, 0.48, 1.09, 0.56, 3.94, 6.10, 1.77
1371433, 1.91, 3.63, 2.15, 0.39, 0.39, 0.71, 0.13, 0.64, 1.01, 0.04, 2.05, 0.86, 1.09
1372915, 3.48, 3.50, 1.89, 0.35, 0.35, 0.75, 0.23, 0.69, 1.02, 0.42, 2.75, 4.53, 1.29
1373122, 2.14, 3.69, 2.87, 0.12, 0.12, 0.75, 0.14, 0.36, 0.54, 0.28, 3.81, 5.65, 1.64
1373893, 2.18, 3.61, 2.53, 0.08, 0.08, 0.72, 0.15, 0.39, 0.90, 0.45, 3.02, 4.57, 1.53
1375624, 3.10, 2.99, 1.55, 0.21, 0.21, 0.56, 0.28, 0.71, 0.75, 0.58, 2.80, 1.39, 1.63
1376220, 3.05, 3.42, 2.35, 0.16, 0.16, 0.70, 0.22, 0.47, 0.88, 0.23, 4.09, 1.74, 1.57
1376680, 3.45, 3.15, 1.60, 0.26, 0.26, 0.63, 0.28, 0.79, 0.42, 0.20, 1.94, 0.12, 1.89
1377106, 4.61, 2.81, 1.69, 0.08, 0.08, 0.59, 0.40, 0.55, 0.95, 0.36, 3.76, 5.29, 1.65
1380454, 2.79, 3.67, 2.21, 0.23, 0.23, 0.77, 0.18, 0.54, 1.12, 0.54, 5.78, 2.31, 1.55
1385436, 3.49, 3.42, 2.26, 0.25, 0.25, 0.72, 0.24, 0.57, 0.41, 0.36, 2.69, 0.11, 1.61
1387147, 3.22, 3.37, 1.57, 0.36, 0.36, 0.69, 0.24, 0.70, 0.85, 0.88, 3.58, 1.33, 1.29
1392905, 3.87, 3.26, 2.04, 0.01, 0.01, 0.68, 0.28, 0.49, 1.13, 0.29, 3.68, 1.81, 1.84
1395842, 5.71, 3.05, 1.91, 0.18, 0.18, 0.71, 0.40, 0.57, 0.90, 0.17, 2.49, 1.46, 1.50
1396246, 1.78, 3.86, 2.73, 0.09, 0.09, 0.80, 0.11, 0.37, 0.76, 0.66, 4.52, 2.65, 1.63
1396444, 1.60, 3.81, 2.75, 0.07, 0.07, 0.77, 0.10, 0.35, 0.74, 0.61, 2.62, 1.26, 1.43
1397677, 5.53, 3.15, 1.93, 0.21, 0.21, 0.73, 0.38, 0.53, 0.48, 0.75, 4.01, 6.28, 1.53
1397804, 2.07, 3.49, 2.02, 0.11, 0.11, 0.67, 0.15, 0.63, 0.55, 0.68, 3.30, 2.38, 2.01
1397927, 4.30, 3.18, 1.62, 0.00, 0.00, 0.68, 0.32, 0.68, 1.41, 0.05, 2.53, 1.58, 1.88
1397927, 4.30, 3.18, 1.64, 0.12, 0.12, 0.68, 0.32, 0.66, 0.79, 0.74, 4.12, 2.39, 1.93
1401546, 2.71, 3.16, 1.79, 0.22, 0.22, 0.59, 0.23, 0.62, 0.95, 0.53, 3.79, 5.15, 1.36
1403786, 5.28, 2.80, 1.58, 0.10, 0.10, 0.62, 0.43, 0.67, 0.67, 0.43, 1.57, 1.01, 1.88
1407184, 5.24, 2.97, 1.71, 0.19, 0.19, 0.66, 0.40, 0.58, 0.86, 0.56, 2.51, 4.45, 1.54
1407573, 2.63, 3.17, 2.11, 0.19, 0.19, 0.59, 0.22, 0.49, 0.82, 0.37, 1.65, 3.92, 1.48
