Event#, Q2, W, MX, xF1, xF2, y, x, z, Mh, phperp, phiH, phiR, theta
117570, 1.41, 3.70, 1.52, 0.34, 0.34, 0.71, 0.10, 0.85, 1.42, 0.29, 1.93, 0.40, 1.47
122074, 3.27, 2.99, 1.63, 0.31, 0.31, 0.57, 0.29, 0.73, 0.57, 0.40, 4.40, 5.14, 1.39
123796, 2.27, 3.04, 1.91, 0.27, 0.27, 0.54, 0.21, 0.61, 0.41, 0.47, 4.00, 5.45, 1.39
124792, 2.87, 3.63, 2.32, 0.19, 0.19, 0.76, 0.19, 0.56, 0.34, 0.67, 1.65, 5.15, 1.88
127976, 2.17, 3.70, 2.16, 0.27, 0.27, 0.75, 0.15, 0.56, 0.80, 0.84, 3.35, 5.83, 1.41
128078, 4.60, 3.49, 2.06, 0.13, 0.13, 0.80, 0.29, 0.61, 0.74, 0.57, 5.21, 1.43, 2.08
129461, 2.45, 3.13, 1.85, 0.27, 0.27, 0.57, 0.22, 0.64, 0.92, 0.23, 3.94, 0.68, 1.50
132476, 3.38, 3.22, 2.17, 0.14, 0.14, 0.65, 0.26, 0.52, 0.40, 0.53, 3.03, 4.11, 1.84
133292, 2.25, 3.23, 2.09, 0.22, 0.22, 0.59, 0.19, 0.51, 1.01, 0.22, 0.07, 2.25, 1.34
133563, 2.50, 3.06, 2.02, 0.21, 0.21, 0.55, 0.23, 0.57, 0.41, 0.36, 3.47, 5.55, 1.75
135503, 2.58, 3.05, 2.08, 0.18, 0.18, 0.55, 0.23, 0.45, 0.42, 0.62, 3.65, 0.85, 1.52
136246, 3.02, 2.95, 1.69, 0.17, 0.17, 0.55, 0.28, 0.65, 0.89, 0.37, 2.33, 0.65, 1.68
137396, 1.67, 3.82, 2.66, 0.12, 0.12, 0.77, 0.11, 0.42, 0.72, 0.64, 0.59, 5.00, 1.67
140900, 2.25, 2.95, 1.72, 0.15, 0.15, 0.50, 0.22, 0.60, 0.89, 0.45, 2.77, 4.86, 1.73
142860, 3.21, 3.62, 2.53, 0.13, 0.13, 0.78, 0.21, 0.44, 0.81, 0.41, 0.45, 5.21, 1.54
144094, 7.38, 2.82, 2.09, 0.24, 0.24, 0.73, 0.51, 0.45, 0.42, 0.17, 3.70, 5.94, 1.21
144369, 3.97, 3.47, 2.34, 0.05, 0.05, 0.76, 0.26, 0.39, 0.36, 0.86, 2.06, 3.44, 1.89
144641, 1.70, 3.23, 1.77, 0.18, 0.18, 0.57, 0.15, 0.65, 0.68, 0.72, 0.92, 4.06, 1.96
145854, 2.14, 3.26, 2.03, 0.21, 0.21, 0.60, 0.18, 0.57, 0.85, 0.42, 2.74, 5.05, 1.62
146705, 4.14, 3.46, 1.85, 0.17, 0.17, 0.76, 0.27, 0.53, 0.85, 0.98, 1.58, 5.69, 1.62
148047, 3.54, 3.32, 2.15, 0.24, 0.24, 0.69, 0.26, 0.57, 0.40, 0.50, 2.67, 0.27, 1.62
154523, 3.28, 3.12, 2.14, 0.10, 0.10, 0.61, 0.27, 0.48, 0.85, 0.13, 2.78, 5.69, 1.74
154915, 1.39, 3.90, 2.59, 0.11, 0.11, 0.79, 0.09, 0.48, 1.11, 0.34, 4.62, 2.46, 1.72
154915, 1.39, 3.90, 2.67, 0.11, 0.11, 0.79, 0.09, 0.46, 0.75, 0.59, 3.55, 2.13, 1.69
155077, 2.13, 3.66, 2.35, 0.26, 0.26, 0.74, 0.15, 0.53, 0.99, 0.39, 2.34, 0.28, 1.32
158215, 3.96, 3.55, 2.54, 0.11, 0.11, 0.79, 0.25, 0.41, 0.72, 0.46, 4.00, 1.69, 1.80
161373, 2.55, 3.28, 2.19, 0.21, 0.21, 0.63, 0.20, 0.54, 0.62, 0.40, 4.29, 2.08, 1.63
164496, 2.54, 3.24, 1.62, 0.03, 0.03, 0.61, 0.21, 0.54, 1.21, 0.78, 0.25, 2.00, 1.66
165540, 2.20, 2.86, 1.53, 0.27, 0.27, 0.48, 0.23, 0.70, 0.93, 0.41, 3.95, 5.48, 1.37
166624, 2.63, 3.53, 2.38, 0.04, 0.04, 0.71, 0.19, 0.41, 1.12, 0.15, 0.01, 1.33, 1.58
167248, 4.22, 3.44, 2.52, 0.09, 0.09, 0.76, 0.28, 0.38, 0.81, 0.22, 2.32, 0.02, 1.70
167959, 1.99, 3.20, 1.76, 0.39, 0.39, 0.57, 0.18, 0.71, 0.39, 0.50, 2.63, 1.07, 1.13
171312, 1.73, 3.44, 2.28, 0.12, 0.12, 0.64, 0.14, 0.45, 1.03, 0.35, 5.97, 3.68, 1.60
171900, 2.84, 3.31, 1.57, 0.31, 0.31, 0.65, 0.22, 0.76, 1.20, 0.41, 0.33, 5.24, 1.38
172941, 4.04, 3.23, 1.74, 0.26, 0.26, 0.68, 0.30, 0.56, 0.59, 0.95, 3.76, 0.16, 1.35
173460, 5.55, 2.82, 1.80, 0.09, 0.09, 0.63, 0.44, 0.52, 0.69, 0.47, 3.24, 1.44, 1.86
173789, 2.23, 3.57, 1.71, 0.48, 0.48, 0.71, 0.16, 0.79, 0.52, 0.51, 2.89, 6.05, 1.17
176143, 3.07, 3.66, 2.64, 0.07, 0.07, 0.78, 0.20, 0.39, 0.81, 0.39, 3.60, 1.98, 1.71
176143, 3.07, 3.66, 2.74, 0.12, 0.12, 0.78, 0.20, 0.39, 0.65, 0.36, 4.08, 1.83, 1.74
179905, 3.92, 2.78, 1.69, 0.08, 0.08, 0.54, 0.36, 0.62, 0.86, 0.14, 1.44, 1.23, 1.80
180410, 3.03, 2.96, 2.03, 0.20, 0.20, 0.55, 0.28, 0.51, 0.56, 0.37, 3.56, 5.46, 1.49
181140, 3.56, 2.60, 1.61, 0.17, 0.17, 0.47, 0.38, 0.61, 0.30, 0.51, 4.47, 5.16, 1.95
181722, 1.57, 3.73, 2.67, 0.19, 0.19, 0.73, 0.11, 0.44, 0.73, 0.38, 1.85, 0.59, 1.31
182858, 1.77, 3.60, 1.89, 0.26, 0.26, 0.70, 0.13, 0.72, 1.17, 0.29, 3.63, 5.68, 1.58
183505, 1.78, 3.85, 2.48, 0.25, 0.25, 0.79, 0.11, 0.47, 0.64, 0.85, 3.47, 5.82, 1.21
184736, 1.62, 3.20, 1.57, 0.09, 0.09, 0.55, 0.15, 0.67, 1.13, 0.71, 2.71, 4.57, 1.85
186388, 1.70, 3.55, 2.68, 0.15, 0.15, 0.68, 0.13, 0.39, 0.66, 0.22, 2.35, 5.21, 1.58
186388, 1.70, 3.55, 2.73, 0.15, 0.15, 0.68, 0.13, 0.37, 0.55, 0.28, 3.52, 5.71, 1.53
187802, 2.94, 3.14, 2.03, 0.15, 0.15, 0.60, 0.25, 0.55, 0.91, 0.03, 5.41, 1.67, 1.61
191146, 1.97, 3.16, 1.98, 0.31, 0.31, 0.56, 0.18, 0.60, 0.41, 0.50, 3.19, 1.08, 1.25
191146, 1.97, 3.16, 2.11, 0.15, 0.15, 0.56, 0.18, 0.51, 0.78, 0.31, 1.73, 0.85, 1.46
191302, 1.54, 3.60, 2.19, 0.17, 0.17, 0.68, 0.11, 0.53, 0.91, 0.71, 5.41, 1.61, 1.75
196595, 1.85, 3.09, 1.84, 0.31, 0.31, 0.53, 0.18, 0.61, 0.95, 0.34, 1.58, 4.47, 1.33
200133, 3.44, 3.61, 2.26, 0.26, 0.26, 0.78, 0.22, 0.55, 0.75, 0.61, 3.91, 5.11, 1.16
204520, 2.20, 3.42, 1.97, 0.38, 0.38, 0.66, 0.17, 0.69, 0.46, 0.39, 4.17, 5.91, 1.22
205079, 2.16, 2.88, 1.57, 0.24, 0.24, 0.48, 0.23, 0.63, 0.73, 0.66, 3.39, 1.58, 1.39
209405, 2.13, 2.97, 1.92, 0.22, 0.22, 0.51, 0.21, 0.54, 0.76, 0.38, 1.51, 3.73, 1.50
209405, 2.13, 2.97, 1.99, 0.18, 0.18, 0.51, 0.21, 0.51, 0.81, 0.20, 0.76, 4.06, 1.57
211584, 2.17, 3.25, 1.87, 0.23, 0.23, 0.60, 0.18, 0.60, 0.45, 0.80, 5.12, 0.48, 1.40
211839, 1.78, 3.59, 1.96, 0.29, 0.29, 0.69, 0.13, 0.62, 0.95, 0.78, 0.20, 1.97, 1.23
213268, 2.58, 3.68, 2.27, 0.08, 0.08, 0.76, 0.17, 0.57, 0.75, 0.60, 5.31, 0.71, 2.07
213682, 2.21, 3.74, 2.69, 0.12, 0.12, 0.77, 0.14, 0.38, 0.92, 0.34, 4.54, 0.07, 1.47
215116, 3.25, 2.90, 1.93, 0.27, 0.27, 0.54, 0.30, 0.58, 0.49, 0.24, 4.95, 6.27, 1.37
217879, 2.92, 3.21, 2.08, 0.04, 0.04, 0.62, 0.24, 0.48, 0.85, 0.50, 2.57, 1.51, 1.66
220755, 2.64, 3.50, 1.53, 0.00, 0.00, 0.70, 0.19, 0.66, 0.90, 1.10, 2.69, 1.55, 1.98
221045, 2.58, 3.35, 2.00, 0.08, 0.08, 0.65, 0.20, 0.51, 1.24, 0.35, 4.00, 5.51, 1.51
223303, 2.40, 3.67, 2.13, 0.32, 0.32, 0.75, 0.16, 0.62, 0.80, 0.67, 4.90, 6.04, 1.09
224979, 2.99, 3.59, 2.46, 0.29, 0.29, 0.75, 0.20, 0.49, 0.53, 0.53, 3.72, 1.00, 1.16
230380, 1.50, 3.47, 2.28, 0.14, 0.14, 0.64, 0.12, 0.46, 0.42, 0.80, 1.91, 0.24, 1.55
232981, 3.02, 3.45, 1.60, 0.11, 0.11, 0.70, 0.22, 0.72, 1.24, 0.67, 2.92, 5.48, 2.03
235785, 2.97, 3.41, 1.50, 0.33, 0.33, 0.69, 0.22, 0.70, 0.72, 1.02, 2.49, 0.71, 1.20
239987, 2.01, 3.54, 2.57, 0.19, 0.19, 0.69, 0.15, 0.41, 0.81, 0.21, 1.47, 4.40, 1.42
240559, 7.48, 2.49, 1.73, 0.08, 0.08, 0.64, 0.58, 0.49, 0.60, 0.08, 6.19, 5.68, 1.82
241754, 3.52, 2.65, 1.57, 0.20, 0.20, 0.49, 0.36, 0.59, 0.94, 0.25, 4.12, 1.91, 1.46
241917, 1.99, 3.80, 1.69, 0.32, 0.32, 0.78, 0.13, 0.79, 1.09, 0.65, 5.09, 2.14, 1.67
244028, 3.27, 3.36, 2.04, 0.24, 0.24, 0.69, 0.24, 0.62, 0.91, 0.25, 0.23, 5.26, 1.46
247132, 2.35, 2.93, 1.73, 0.36, 0.36, 0.51, 0.23, 0.66, 0.64, 0.40, 4.81, 1.20, 1.29
248488, 1.72, 3.77, 1.81, 0.17, 0.17, 0.76, 0.11, 0.55, 0.31, 1.36, 1.02, 3.24, 0.54
249102, 1.86, 3.60, 1.85, 0.45, 0.45, 0.70, 0.13, 0.68, 0.83, 0.79, 4.39, 1.90, 1.02
252093, 2.62, 3.12, 1.93, 0.26, 0.26, 0.58, 0.23, 0.57, 1.01, 0.14, 2.48, 4.61, 1.29
252481, 1.51, 3.82, 2.52, 0.09, 0.09, 0.77, 0.10, 0.42, 1.10, 0.53, 0.32, 2.89, 1.79
257003, 2.16, 3.34, 2.49, 0.12, 0.12, 0.63, 0.17, 0.41, 0.67, 0.07, 4.05, 5.44, 1.62
258109, 5.85, 2.75, 1.74, 0.20, 0.20, 0.63, 0.47, 0.54, 0.78, 0.35, 3.38, 1.94, 1.33
263054, 1.69, 3.50, 2.37, 0.28, 0.28, 0.66, 0.13, 0.50, 0.67, 0.48, 3.14, 6.05, 1.31
263694, 2.17, 3.76, 2.30, 0.15, 0.15, 0.78, 0.14, 0.58, 0.91, 0.54, 1.13, 5.30, 1.86
266207, 1.45, 3.56, 2.01, 0.22, 0.22, 0.66, 0.11, 0.61, 0.98, 0.65, 5.15, 3.00, 1.61
268706, 3.19, 2.83, 1.76, 0.18, 0.18, 0.52, 0.31, 0.60, 0.70, 0.35, 6.16, 1.17, 1.57
268825, 2.98, 3.56, 2.54, 0.07, 0.07, 0.74, 0.20, 0.41, 0.69, 0.50, 4.72, 0.15, 1.80
